property_id,expense_date,category,amount,vendor,notes
1,2024-01-05,Mortgage,1450.00,Chase Bank,Jan mortgage
1,2024-01-12,Insurance,180.00,State Farm,Monthly landlord insurance
1,2024-02-05,Mortgage,1450.00,Chase Bank,Feb mortgage
1,2024-02-18,Repairs,320.00,Mike Plumbing Co.,Leaking faucet unit 1
1,2024-03-05,Mortgage,1450.00,Chase Bank,Mar mortgage
1,2024-03-22,Maintenance,150.00,Green Lawn Care,Spring lawn cleanup
1,2024-04-05,Mortgage,1450.00,Chase Bank,Apr mortgage
1,2024-04-10,Property Tax,975.00,Cook County,Q2 property tax
1,2024-05-05,Mortgage,1450.00,Chase Bank,May mortgage
1,2024-06-05,Mortgage,1450.00,Chase Bank,Jun mortgage
1,2024-06-14,Repairs,640.00,HVAC Pros,AC unit service unit 2
2,2024-01-08,Mortgage,890.00,Wells Fargo,Jan mortgage
2,2024-01-08,HOA,225.00,Oak Ave HOA,Jan HOA fee
2,2024-02-08,Mortgage,890.00,Wells Fargo,Feb mortgage
2,2024-02-08,HOA,225.00,Oak Ave HOA,Feb HOA fee
2,2024-03-08,Mortgage,890.00,Wells Fargo,Mar mortgage
2,2024-03-08,HOA,225.00,Oak Ave HOA,Mar HOA fee
2,2024-03-30,Repairs,410.00,QuickFix Handyman,Bathroom tile repair
2,2024-04-08,Mortgage,890.00,Wells Fargo,Apr mortgage
2,2024-04-08,HOA,225.00,Oak Ave HOA,Apr HOA fee
2,2024-05-08,Mortgage,890.00,Wells Fargo,May mortgage
2,2024-05-08,HOA,225.00,Oak Ave HOA,May HOA fee
2,2024-06-08,Mortgage,890.00,Wells Fargo,Jun mortgage
2,2024-06-08,HOA,225.00,Oak Ave HOA,Jun HOA fee
3,2024-01-01,Mortgage,1620.00,Bank of America,Jan mortgage
3,2024-01-15,Insurance,210.00,Allstate,Jan insurance
3,2024-02-01,Mortgage,1620.00,Bank of America,Feb mortgage
3,2024-03-01,Mortgage,1620.00,Bank of America,Mar mortgage
3,2024-03-10,Utilities,95.00,ComEd,Electric owner-paid
3,2024-04-01,Mortgage,1620.00,Bank of America,Apr mortgage
3,2024-04-15,Property Tax,1100.00,DuPage County,Q2 tax
3,2024-05-01,Mortgage,1620.00,Bank of America,May mortgage
3,2024-05-20,Repairs,875.00,Roof Masters,Shingle repair after storm
3,2024-06-01,Mortgage,1620.00,Bank of America,Jun mortgage
3,2024-06-05,Maintenance,200.00,Green Lawn Care,Monthly lawn service
4,2024-01-01,Mortgage,3100.00,Citibank,Jan mortgage
4,2024-01-01,Insurance,450.00,Travelers,Jan commercial insurance
4,2024-02-01,Mortgage,3100.00,Citibank,Feb mortgage
4,2024-03-01,Mortgage,3100.00,Citibank,Mar mortgage
4,2024-03-25,Repairs,1200.00,Commercial HVAC,HVAC maintenance contract
4,2024-04-01,Mortgage,3100.00,Citibank,Apr mortgage
4,2024-04-01,Management Fee,480.00,Metro PM Group,April mgmt fee
4,2024-05-01,Mortgage,3100.00,Citibank,May mortgage
4,2024-05-01,Management Fee,480.00,Metro PM Group,May mgmt fee
4,2024-06-01,Mortgage,3100.00,Citibank,Jun mortgage
4,2024-06-01,Management Fee,480.00,Metro PM Group,Jun mgmt fee
5,2024-01-10,Mortgage,980.00,Chase Bank,Jan mortgage
5,2024-01-10,Insurance,140.00,State Farm,Jan insurance
5,2024-02-10,Mortgage,980.00,Chase Bank,Feb mortgage
5,2024-03-10,Mortgage,980.00,Chase Bank,Mar mortgage
5,2024-03-15,Repairs,2400.00,Total Renovations,Kitchen remodel prep
5,2024-04-10,Mortgage,980.00,Chase Bank,Apr mortgage
5,2024-05-10,Mortgage,980.00,Chase Bank,May mortgage
5,2024-06-10,Mortgage,980.00,Chase Bank,Jun mortgage
